"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","79691","0.0-0.0","9/12/2023, 9:09:07 AM","conditionO","","","","","",""
"","call-function","1","79693","0.0-1.0","9/12/2023, 9:09:07 AM","conditionO","","","","","",""
"","instructions","2","94640","0.0-2.0","9/12/2023, 9:09:07 AM","conditionO","","[{""page_index"":0,""viewing_time"":1301.8999996185303},{""page_index"":1,""viewing_time"":5104.400000095367},{""page_index"":2,""viewing_time"":2128.5},{""page_index"":3,""viewing_time"":1275.5},{""page_index"":4,""viewing_time"":1805.9000000953674},{""page_index"":5,""viewing_time"":3328}]","14944.89999961853","","",""
"","image-button-response","3","96760","0.0-3.0","9/12/2023, 9:09:07 AM","conditionO","","","2118.7000002861023","images/with_no_order_2.jpeg","1",""
"","instructions","4","98765","0.0-4.0","9/12/2023, 9:09:07 AM","conditionO","","[{""page_index"":0,""viewing_time"":2005.0999999046326}]","2005.3000001907349","","",""
"","image-button-response","5","100397","0.0-5.0","9/12/2023, 9:09:07 AM","conditionO","","","1631","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","101429","0.0-6.0","9/12/2023, 9:09:07 AM","conditionO","","[{""page_index"":0,""viewing_time"":1031.2000002861023}]","1031.3000001907349","","",""
"","image-button-response","7","102530","0.0-7.0","9/12/2023, 9:09:07 AM","conditionO","","","1100","images/with_order_2.jpeg","0",""
"","instructions","8","103359","0.0-8.0","9/12/2023, 9:09:07 AM","conditionO","","[{""page_index"":0,""viewing_time"":828.9000000953674}]","829.0999999046326","","",""
"","instructions","9","106264","0.0-9.0","9/12/2023, 9:09:07 AM","conditionO","","[{""page_index"":0,""viewing_time"":2903.7000002861023}]","2903.800000190735","","",""
"","image-button-response","10","116537","0.0-10.0","9/12/2023, 9:09:07 AM","conditionO","","","10272.400000095367","images/memory_example_1.jpg","0",""
"","instructions","11","128830","0.0-11.0","9/12/2023, 9:09:07 AM","conditionO","","[{""page_index"":0,""viewing_time"":1886.0999999046326},{""page_index"":1,""viewing_time"":10406.099999904633}]","12292.400000095367","","",""
"","image-button-response","12","133777","0.0-12.0","9/12/2023, 9:09:07 AM","conditionO","","","4947","images/non_order_2.jpeg","1",""
"","image-button-response","13","138380","0.0-13.0","9/12/2023, 9:09:07 AM","conditionO","","","4601.400000095367","images/scrambled_2.jpeg","2",""
"","image-button-response","14","167310","0.0-14.0","9/12/2023, 9:09:07 AM","conditionO","","","28929.199999809265","images/order_2.jpeg","1",""
"","image-button-response","15","173382","0.0-15.0","9/12/2023, 9:09:07 AM","conditionO","","","6071.799999713898","images/memory_1.png","1",""
"","image-button-response","16","181555","0.0-16.0","9/12/2023, 9:09:07 AM","conditionO","","","8172.699999809265","images/memory_2.png","0",""
"","image-button-response","17","184440","0.0-17.0","9/12/2023, 9:09:07 AM","conditionO","","","2883.6000003814697","images/memory_3.png","0",""
"","image-button-response","18","191573","0.0-18.0","9/12/2023, 9:09:07 AM","conditionO","","","7133","images/scrambled_1.jpeg","2",""
"","image-button-response","19","198917","0.0-19.0","9/12/2023, 9:09:07 AM","conditionO","","","7343.200000286102","images/order_1.jpeg","0",""
"","image-button-response","20","227639","0.0-20.0","9/12/2023, 9:09:07 AM","conditionO","","","28721.099999904633","images/non_order_1.jpeg","1",""
"","image-button-response","21","230585","0.0-21.0","9/12/2023, 9:09:07 AM","conditionO","","","2945.2999997138977","images/memory_4.png","1",""
"","image-button-response","22","233549","0.0-22.0","9/12/2023, 9:09:07 AM","conditionO","","","2963.5","images/memory_6.png","0",""
"","image-button-response","23","245917","0.0-23.0","9/12/2023, 9:09:07 AM","conditionO","","","12366.700000286102","images/memory_5.png","1",""
"","image-button-response","24","255415","0.0-24.0","9/12/2023, 9:09:07 AM","conditionO","","","9497.900000095367","images/non_order_44.jpeg","1",""
"","image-button-response","25","262023","0.0-25.0","9/12/2023, 9:09:07 AM","conditionO","","","6607","images/non_order_22.jpeg","1",""
"","image-button-response","26","289363","0.0-26.0","9/12/2023, 9:09:07 AM","conditionO","","","27339.300000190735","images/order_66.jpeg","0",""
"","image-button-response","27","293729","0.0-27.0","9/12/2023, 9:09:07 AM","conditionO","","","4365.199999809265","images/memory_14.jpg","1",""
"","image-button-response","28","326631","0.0-28.0","9/12/2023, 9:09:07 AM","conditionO","","","32901.199999809265","images/memory_15.jpg","1",""
"","image-button-response","29","329363","0.0-29.0","9/12/2023, 9:09:07 AM","conditionO","","","2731.2999997138977","images/memory_16.png","1",""
"","survey-text","30","333537","0.0-30.0","9/12/2023, 9:09:07 AM","conditionO","","","4171.099999904633","","","{""Q0"":""36""}"
"","survey-text","31","339674","0.0-31.0","9/12/2023, 9:09:07 AM","conditionO","","","6131","","","{""Q0"":""MALE""}"
"","instructions","32","463175","0.0-32.0","9/12/2023, 9:09:07 AM","conditionO","","[{""page_index"":0,""viewing_time"":123499.39999961853}]","123499.69999980927","","",""
